# Fujifilm AF3-0221E2, page 8, Characteristic Curves; raster/vector digitisation. See SOURCES.md.
logExposure,density
-2.850000,3.801381
-2.800000,3.798952
-2.750000,3.797460
-2.700000,3.794369
-2.650000,3.793024
-2.600000,3.789544
-2.550000,3.786024
-2.500000,3.781702
-2.450000,3.777028
-2.400000,3.768470
-2.350000,3.763682
-2.300000,3.754524
-2.250000,3.742873
-2.200000,3.728774
-2.150000,3.709024
-2.100000,3.687769
-2.050000,3.665576
-2.000000,3.625292
-1.950000,3.585595
-1.900000,3.536881
-1.850000,3.482075
-1.800000,3.418968
-1.750000,3.336786
-1.700000,3.235226
-1.650000,3.097524
-1.600000,2.982798
-1.550000,2.867893
-1.500000,2.746730
-1.450000,2.651881
-1.400000,2.544968
-1.350000,2.412809
-1.300000,2.271353
-1.250000,2.093310
-1.200000,1.982583
-1.150000,1.851921
-1.100000,1.731238
-1.050000,1.626786
-1.000000,1.559211
-0.950000,1.476595
-0.900000,1.378956
-0.850000,1.302738
-0.800000,1.223413
-0.750000,1.144698
-0.700000,1.067595
-0.650000,0.986968
-0.600000,0.894952
-0.550000,0.824337
-0.500000,0.759176
-0.450000,0.697238
-0.400000,0.637278
-0.350000,0.576524
-0.300000,0.529310
-0.250000,0.476230
-0.200000,0.430167
-0.150000,0.388242
-0.100000,0.351298
-0.050000,0.327238
-0.000000,0.303270
0.050000,0.265095
0.100000,0.235187
0.150000,0.213774
0.200000,0.197024
0.250000,0.183691
0.300000,0.171381
0.350000,0.161901
0.400000,0.155040
0.450000,0.148381
0.500000,0.146595
0.550000,0.145389
0.600000,0.145389
0.650000,0.145389
0.700000,0.145389
0.750000,0.145389
0.800000,0.145389
0.850000,0.145389
0.900000,0.145389
0.950000,0.145389
1.000000,0.145389
1.050000,0.145389
1.100000,0.145389
